Sample_Code,Cooperative,FAO_type,Crop_raw,param_source,clay_pct,SOC_tCha,BD_gcm3,BD_was_imputed,crop_yield,param_note,output_file
CR442SA0109,Eor Emayian,ANm,No crop,stratum_avg,34.8,75.947,0.9663,True,2.6217,"Stratum average: mean of Maize, Potato, Beans params",CR442SA0109.csv
CR442SA0110,Eor Emayian,ANm,No crop,stratum_avg,42.8,76.527,0.9663,True,2.6217,"Stratum average: mean of Maize, Potato, Beans params",CR442SA0110.csv
CR442SA0111,Eor Emayian,ANm,Potato,Potato,40.8,173.259,0.93,False,4.448,,CR442SA0111.csv
CR442SA0112,Eor Emayian,ANm,Cabbage,stratum_avg,36.8,141.201,0.87,False,2.6217,"Stratum average: mean of Maize, Potato, Beans params",CR442SA0112.csv
CR442SA0113,Eor Emayian,ANm,Peas,Beans,46.8,94.5,1.05,False,0.526,Beans proxy: Lanyuak Barley params (no Beans block in Eor),CR442SA0113.csv
CR442SA0114,Eor Emayian,ANm,Potato,Potato,42.8,121.5,0.9,False,4.448,,CR442SA0114.csv
CR442SA0115,Eor Emayian,ANm,Potato,Potato,44.8,99.648,0.96,False,4.448,,CR442SA0115.csv
CR442SA0116,Eor Emayian,ANm,Potato,Potato,42.8,119.7,0.95,False,4.448,,CR442SA0116.csv
CR442SA0117,Eor Emayian,ANm,Potato,Potato,40.8,80.585,0.9663,True,4.448,,CR442SA0117.csv
CR442SA0118,Eor Emayian,ANm,Passion fruit,stratum_avg,38.8,97.398,0.9663,True,2.6217,"Stratum average: mean of Maize, Potato, Beans params",CR442SA0118.csv
CR442SA0119,Eor Emayian,ANm,Corn,Maize,36.8,85.223,0.9663,True,2.8911,,CR442SA0119.csv
CR442SA0120,Eor Emayian,ANm,Potato,Potato,40.8,130.154,0.9663,True,4.448,,CR442SA0120.csv
CR442SA0121,Eor Emayian,ANm,Potato,Potato,36.8,95.659,0.9663,True,4.448,,CR442SA0121.csv
CR442SA0122,Eor Emayian,ANm,No crop,stratum_avg,40.8,110.153,0.9663,True,2.6217,"Stratum average: mean of Maize, Potato, Beans params",CR442SA0122.csv
