Sample Type,Analysis Name,Sample_Code,Client Name,Farm Name,Unnamed: 5,Field Name,Cooperative,x,y,Crop,Depth,Condition,Comments,C (%),%Sand (%),%Silt (%),BD (g/cm3),%Clay (%),SOC (t/ha)
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0131,Regenerative carbon Alliance,Regenerative carbon Alliance,,K27,Kabianga,-0.46031,35.17281,No crop,Top Soil,Moist,,3.48,9.64,15.6,,74.76,104.922
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0255,Regenerative carbon Alliance,Regenerative carbon Alliance,,K02,Kabianga,-0.452,35.18,No crop,Top Soil,Moist,,7.75,25.3,22,,52.7,233.6625
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0268,Regenerative carbon Alliance,Regenerative carbon Alliance,,K09,Kabianga,-0.46,35.182,No crop,Top Soil,Moist,,3.22,19.3,18,,62.7,97.083
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0267,Regenerative carbon Alliance,Regenerative carbon Alliance,,KNTU025,Kabianga,-0.505,35.185,No crop,Top Soil,Moist,,1.28,21.3,46,,32.7,38.592
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0266,Regenerative carbon Alliance,Regenerative carbon Alliance,,KNTU024,Kabianga,-0.502,35.182,No crop,Top Soil,Moist,,4.29,21.3,12,,66.7,129.3435
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0265,Regenerative carbon Alliance,Regenerative carbon Alliance,,KNTU023,Kabianga,-0.5,35.18,No crop,Top Soil,Moist,,3.77,17.3,20,,62.7,113.6655
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0262,Regenerative carbon Alliance,Regenerative carbon Alliance,,KA59,Kabianga,-0.4152,35.16187,No crop,Top Soil,Moist,,4.39,21.3,26,,52.7,132.3585
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0261,Regenerative carbon Alliance,Regenerative carbon Alliance,,KNTU022,Kabianga,-0.495,35.175,No crop,Top Soil,Moist,,4.26,23.3,20,,56.7,128.439
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0260,Regenerative carbon Alliance,Regenerative carbon Alliance,,K20,Kabianga,-0.49,35.16,No crop,Top Soil,Moist,,5.16,21.3,22,,56.7,155.574
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0259,Regenerative carbon Alliance,Regenerative carbon Alliance,,K17,Kabianga,-0.48,35.165,No crop,Top Soil,Moist,,8.9,31.3,22,,46.7,268.335
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0258,Regenerative carbon Alliance,Regenerative carbon Alliance,,K15,Kabianga,-0.47,35.17,No crop,Top Soil,Moist,,5.28,17.3,20,,62.7,159.192
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0257,Regenerative carbon Alliance,Regenerative carbon Alliance,,K04,Kabianga,-0.457,35.19,No crop,Top Soil,Moist,,4.91,19.3,20,,60.7,148.0365
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0256,Regenerative carbon Alliance,Regenerative carbon Alliance,,K03,Kabianga,-0.455,35.185,No crop,Top Soil,Moist,,5.6,15.3,16,,68.7,168.84
