FAO Soil Type,%Sand (%),%Silt (%),%Clay (%)
ANm,29.252459016393445,30.557377049180328,40.19016393442623
NTh,17.607692307692307,22.76923076923077,59.62307692307692
NTu,19.948,21.355,58.696999999999996
