Sample Type,Analysis Name,Sample_Code,Client Name,Farm Name,field_6,Field Name,Cooperative,y,x,Crop,Depth,Condition,Comments,C (%),%Sand (%),%Silt (%),BD (g/cm3),%Clay (%),FAO Soil Type,BD_imputed,BD_was_imputed,SOC_stock_tCha
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0210,Regenerative carbon Alliance,Regenerative carbon Alliance,,M67,Mumberes,0.0699931,35.5574947,No crop,Top Soil,Moist,,6.87,23.3,28.0,,48.7,NTu,1.0208333333333333,True,210.39374999999998
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0211,Regenerative carbon Alliance,Regenerative carbon Alliance,,M68,Mumberes,-0.034043,35.620116,Corn,Top Soil,Moist,,3.45,13.3,20.0,,66.7,NTu,1.0208333333333333,True,105.65625
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0212,Regenerative carbon Alliance,Regenerative carbon Alliance,,M69,Mumberes,0.025187,35.569348,Corn,Top Soil,Moist,,3.35,15.3,22.0,,62.7,NTu,1.0208333333333333,True,102.59375
Soil Analysis,"Soil Bulk Density,Soil Organic Carbon (Dry Combustion),Soil Texture Analysis",CR442SA0213,Regenerative carbon Alliance,Regenerative carbon Alliance,,M70,Mumberes,-0.0037175,35.4881073,Irish Potato,Top Soil,Moist,,3.21,17.3,14.0,1.11,68.7,NTh,1.11,False,106.893
Soil Analysis,"Soil Bulk Density,Soil Organic Carbon (Dry Combustion),Soil Texture Analysis",CR442SA0214,Regenerative carbon Alliance,Regenerative carbon Alliance,,M71,Mumberes,0.032548,35.5050706,Grazing,Top Soil,Moist,,2.65,13.3,26.0,1.0,60.7,NTh,1.0,False,79.5
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0215,Regenerative carbon Alliance,Regenerative carbon Alliance,,M72,Mumberes,-0.008234,35.5860267,Oat,Top Soil,Moist,,4.85,19.3,20.0,,60.7,NTu,1.0208333333333333,True,148.53124999999997
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0216,Regenerative carbon Alliance,Regenerative carbon Alliance,,M73,Mumberes,-0.0068095,35.5644775,Irish Potato,Top Soil,Moist,,3.14,19.3,22.0,,58.7,NTu,1.0208333333333333,True,96.16250000000001
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0217,Regenerative carbon Alliance,Regenerative carbon Alliance,,M74,Mumberes,0.0398834,35.5344267,Corn,Top Soil,Moist,,4.41,19.3,24.0,,56.7,NTu,1.0208333333333333,True,135.05624999999998
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0218,Regenerative carbon Alliance,Regenerative carbon Alliance,,M75,Mumberes,0.052757,35.5500321,Corn,Top Soil,Moist,,6.47,27.3,32.0,,40.7,NTu,1.0208333333333333,True,198.14374999999995
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0219,Regenerative carbon Alliance,Regenerative carbon Alliance,,M76,Mumberes,0.0325315,35.4974575,Irish Potato,Top Soil,Moist,,2.08,15.3,22.0,,62.7,NTh,1.0208333333333333,True,63.69999999999999
Soil Analysis,"Soil Bulk Density,Soil Organic Carbon (Dry Combustion),Soil Texture Analysis",CR442SA0220,Regenerative carbon Alliance,Regenerative carbon Alliance,,M77,Mumberes,0.0080513,35.513484,Irish Potato,Top Soil,Moist,,7.24,25.3,26.0,1.02,48.7,NTh,1.02,False,221.54400000000004
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0221,Regenerative carbon Alliance,Regenerative carbon Alliance,,MNTP1R,Mumberes,0.01208,35.62211,No crop,Top Soil,Moist,,3.46,29.3,20.0,,50.7,NTu,1.0208333333333333,True,105.96249999999998
Soil Analysis,"Soil Bulk Density,Soil Organic Carbon (Dry Combustion),Soil Texture Analysis",CR442SA0222,Regenerative carbon Alliance,Regenerative carbon Alliance,,MNTU18R,Mumberes,0.03339,35.57908,Corn,Top Soil,Moist,,5.67,15.3,16.0,1.03,68.7,NTu,1.03,False,175.203
Soil Analysis,"Soil Bulk Density,Soil Organic Carbon (Dry Combustion),Soil Texture Analysis",CR442SA0223,Regenerative carbon Alliance,Regenerative carbon Alliance,,MNTU24R,Mumberes,0.04247,35.57331,Potato,Top Soil,Moist,,5.95,23.3,20.0,1.08,56.7,NTu,1.08,False,192.78000000000003
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0224,Regenerative carbon Alliance,Regenerative carbon Alliance,,MNTU29R,Mumberes,-0.00744,35.60911,Corn,Top Soil,Moist,,4.29,13.3,22.0,,64.7,NTu,1.0208333333333333,True,131.38125
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0225,Regenerative carbon Alliance,Regenerative carbon Alliance,,MNTU2R,Mumberes,0.00897,35.6131,Corn,Top Soil,Moist,,3.87,21.3,14.0,,64.7,NTu,1.0208333333333333,True,118.51874999999998
