Sample Type,Analysis Name,Sample_Code,Client Name,Farm Name,field_6,Field Name,Cooperative,y,x,Crop,Depth,Condition,Comments,C (%),%Sand (%),%Silt (%),BD (g/cm3),%Clay (%),FAO Soil Type,BD_imputed,BD_was_imputed,SOC_stock_tCha
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0134,Regenerative carbon Alliance,Regenerative carbon Alliance,,KA13,Kabianga,-0.44298708,35.131672,Tea,Top Soil,Moist,,5.63,23.6,19.6,,56.8,NTu,1.0050000000000001,True,169.74450000000002
Soil Analysis,"Soil Bulk Density,Soil Organic Carbon (Dry Combustion),Soil Texture Analysis",CR442SA0135,Regenerative carbon Alliance,Regenerative carbon Alliance,,KA4,Kabianga,-0.4287994,35.144828,Tea,Top Soil,Moist,,5.74,29.6,19.6,0.9,50.8,NTu,0.9,False,154.98
Soil Analysis,"Soil Bulk Density,Soil Organic Carbon (Dry Combustion),Soil Texture Analysis",CR442SA0136,Regenerative carbon Alliance,Regenerative carbon Alliance,,KA50,Kabianga,-0.4173038,35.1046031,Tea,Top Soil,Moist,,3.86,21.6,19.6,1.03,58.8,NTu,1.03,False,119.27399999999999
Soil Analysis,"Soil Bulk Density,Soil Organic Carbon (Dry Combustion),Soil Texture Analysis",CR442SA0137,Regenerative carbon Alliance,Regenerative carbon Alliance,,KA50,Kabianga,-0.4173038,35.1046031,Tea,Top Soil,Moist,,2.64,19.6,13.6,0.81,66.8,NTu,0.81,False,64.152
Soil Analysis,"Soil Bulk Density,Soil Organic Carbon (Dry Combustion),Soil Texture Analysis",CR442SA0138,Regenerative carbon Alliance,Regenerative carbon Alliance,,KA51,Kabianga,-0.4222144,35.1387888,Tea,Top Soil,Moist,,3.6,15.6,19.6,1.09,64.8,NTu,1.09,False,117.72
Soil Analysis,"Soil Bulk Density,Soil Organic Carbon (Dry Combustion),Soil Texture Analysis",CR442SA0139,Regenerative carbon Alliance,Regenerative carbon Alliance,,KA52,Kabianga,-0.3989269,35.1023141,Tea,Top Soil,Moist,,3.33,23.6,21.6,1.09,54.8,NTu,1.09,False,108.891
Soil Analysis,"Soil Bulk Density,Soil Organic Carbon (Dry Combustion),Soil Texture Analysis",CR442SA0140,Regenerative carbon Alliance,Regenerative carbon Alliance,,KA53,Kabianga,-0.4050438,35.1822397,Tea,Top Soil,Moist,,6.18,21.6,25.6,1.11,52.8,NTu,1.11,False,205.79399999999998
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0141,Regenerative carbon Alliance,Regenerative carbon Alliance,,KA54,Kabianga,-0.4251839,35.0663544,Tea,Top Soil,Moist,,3.84,15.6,23.6,,60.8,NTu,1.0050000000000001,True,115.77600000000001
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0142,Regenerative carbon Alliance,Regenerative carbon Alliance,,KA56,Kabianga,-0.3978458,35.1277647,Tea,Top Soil,Moist,,3.54,23.6,23.6,,52.8,NTu,1.0050000000000001,True,106.73100000000002
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0143,Regenerative carbon Alliance,Regenerative carbon Alliance,,KA56,Kabianga,-0.4043145,35.1323085,Tea,Top Soil,Moist,,4.61,21.6,21.6,,56.8,NTu,1.0050000000000001,True,138.99150000000003
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0144,Regenerative carbon Alliance,Regenerative carbon Alliance,,KA57,Kabianga,-0.3905672,35.1565868,Corn,Top Soil,Moist,,5.81,25.6,25.6,,48.8,NTu,1.0050000000000001,True,175.1715
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0145,Regenerative carbon Alliance,Regenerative carbon Alliance,,KA60,Kabianga,-0.4058471,35.0715111,Corn,Top Soil,Moist,,3.89,19.6,17.6,,62.8,NTu,1.0050000000000001,True,117.28350000000003
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0146,Regenerative carbon Alliance,Regenerative carbon Alliance,,KA61,Kabianga,-0.3999222,35.089068,Tea,Top Soil,Moist,,4.03,17.6,21.6,,60.8,NTu,1.0050000000000001,True,121.50450000000004
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0147,Regenerative carbon Alliance,Regenerative carbon Alliance,,KA62,Kabianga,-0.4451531,35.078239,Corn,Top Soil,Moist,,4.16,15.6,19.6,,64.8,NTu,1.0050000000000001,True,125.42400000000002
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0148,Regenerative carbon Alliance,Regenerative carbon Alliance,,KA65,Kabianga,-0.4104901,35.058115,Kale,Top Soil,Moist,,5.67,15.6,23.6,,60.8,NTu,1.0050000000000001,True,170.95050000000003
